modal,data,loss,pix_acc,mean_iou,freq_iou
unetplusplus,berlin_0,"(42.97, 5.4)","(30.5, 1.46)","(18.99, 6.63)","(28.84, 9.72)"
unetplusplus,berlin_1,"(41.55, 2.07)","(45.14, 1.9)","(10.24, 6.28)","(16.84, 10.88)"
unetplusplus,chicago_0,"(24.97, 5.33)","(0.32, 0.09)","(8.57, 4.78)","(14.41, 9.12)"
unetplusplus,chicago_1,"(25.06, 8.46)","(0.2, 0.04)","(8.41, 3.4)","(12.06, 4.98)"
unetplusplus,chicago_2,"(26.5, 6.89)","(2.12, 0.61)","(6.55, 3.22)","(10.92, 7.11)"
unetplusplus,chicago_3,"(25.42, 7.9)","(3.18, 0.7)","(11.39, 3.76)","(16.55, 6.25)"
unetplusplus,zurich_CL_1,"(154.3, 3.11)","(2.59, 0.52)","(6.1, 0.98)","(10.36, 3.45)"
unetplusplus,zurich_CL_1,"(40.74, 8.77)","(7.47, 1.16)","(14.92, 4.95)","(24.79, 7.53)"
unetplusplus,zurich_CL_2,"(37.18, 8.53)","(7.65, 0.59)","(10.66, 4.62)","(14.46, 6.52)"
unetplusplus,zurich_CL_3,"(36.59, 10.9)","(7.78, 1.32)","(22.26, 5.54)","(33.5, 7.67)"
unetplusplus,zurich_CL_4,"(49.27, 4.73)","(7.6, 1.02)","(8.98, 3.02)","(14.43, 6.83)"
unetplusplus,zurich_CL_5,"(42.06, 6.7)","(7.52, 1.06)","(10.66, 5.57)","(18.7, 11.15)"
unetplusplus,zurich_CL_6,"(60.69, 19.67)","(8.06, 1.23)","(14.85, 8.15)","(23.29, 12.26)"
unetplusplus,zurich_CL_7,"(49.26, 14.05)","(7.44, 1.22)","(7.61, 4.54)","(12.82, 8.54)"
unetplusplus,zurich_CL_8,"(58.79, 24.34)","(5.0, 0.77)","(15.2, 7.59)","(22.95, 10.81)"
unetplusplus,zurich_CL_9,"(53.54, 20.08)","(5.29, 0.94)","(15.56, 3.69)","(22.79, 5.25)"
unetplusplus,zurich_CL_10,"(53.42, 18.27)","(7.62, 1.45)","(11.93, 4.8)","(23.36, 10.1)"
unetplusplus,zurich_CL_11,"(62.34, 19.09)","(5.07, 0.73)","(18.63, 12.33)","(29.68, 17.47)"
unetplusplus,zurich_CL_12,"(68.7, 30.59)","(3.14, 0.25)","(10.81, 4.56)","(18.0, 7.4)"
unetplusplus,zurich_CL_13,"(108.82, 79.78)","(5.51, 0.29)","(17.97, 6.81)","(26.73, 10.08)"
unetplusplus,zurich_CL_14,"(79.53, 33.42)","(4.68, 0.68)","(11.68, 4.55)","(22.93, 10.88)"
unetplusplus,zurich_CL_15,"(95.69, 43.9)","(5.02, 0.59)","(16.89, 6.32)","(27.25, 10.19)"
unetplusplus,zurich_CL_16,"(99.03, 47.5)","(3.92, 0.34)","(13.87, 6.11)","(21.8, 10.9)"
